Timestamp,pressure,temp,rel_hum,hum_temp,date,time,longitude,latitude,altitude,sat
2025-12-04 10:35:04,1007.39,+2209,3.34,+2319,2015/10/18,00:28:05,+0000000000,+0000000000,-00017000,00
2025-12-04 10:35:04,1007.4,+2206,3.33,+2318,2015/10/18,00:28:06,+0000000000,+0000000000,-00017000,00
2025-12-04 10:35:04,1007.4,+2208,3.33,+2318,2015/10/18,00:28:07,+0000000000,+0000000000,-00017000,00
2025-12-04 10:35:05,1007.39,+2208,3.33,+2319,2015/10/18,00:28:08,+0000000000,+0000000000,-00017000,00
2025-12-04 10:35:06,1007.41,+2210,3.33,+2318,2015/10/18,00:28:09,+0000000000,+0000000000,-00017000,00
2025-12-04 10:35:07,1007.36,+2206,3.33,+2319,2015/10/18,00:28:10,+0000000000,+0000000000,-00017000,00
2025-12-04 10:35:08,1007.42,+2209,3.34,+2318,2015/10/18,00:28:11,+0000000000,+0000000000,-00017000,00
2025-12-04 10:35:09,1007.39,+2210,3.34,+2318,2015/10/18,00:28:12,+0000000000,+0000000000,-00017000,00
2025-12-04 10:35:10,1007.39,+2205,3.34,+2319,2015/10/18,00:28:13,+0000000000,+0000000000,-00017000,00
2025-12-04 10:35:11,1007.36,+2206,3.34,+2318,2015/10/18,00:28:14,+0000000000,+0000000000,-00017000,00
2025-12-04 10:35:12,1007.4,+2204,3.34,+2318,2015/10/18,00:28:15,+0000000000,+0000000000,-00017000,00
2025-12-04 10:35:13,1007.44,+2205,3.33,+2318,2015/10/18,00:28:16,+0000000000,+0000000000,-00017000,00
2025-12-04 10:35:14,1007.4,+2205,3.33,+2319,2015/10/18,00:28:17,+0000000000,+0000000000,-00017000,00
2025-12-04 10:35:15,1007.38,+2206,3.34,+2319,2015/10/18,00:28:18,+0000000000,+0000000000,-00017000,00
2025-12-04 10:35:16,1007.36,+2205,3.34,+2319,2015/10/18,00:28:19,+0000000000,+0000000000,-00017000,00
2025-12-04 10:35:17,1007.35,+2206,3.34,+2319,2015/10/18,00:28:20,+0000000000,+0000000000,-00017000,00
2025-12-04 10:35:18,1007.34,+2208,3.34,+2318,2015/10/18,00:28:21,+0000000000,+0000000000,-00017000,00
2025-12-04 10:35:19,1007.41,+2206,3.34,+2319,2015/10/18,00:28:22,+0000000000,+0000000000,-00017000,00
2025-12-04 10:35:20,1007.42,+2206,3.34,+2319,2015/10/18,00:28:23,+0000000000,+0000000000,-00017000,00
2025-12-04 10:35:21,1007.45,+2207,3.34,+2319,2015/10/18,00:28:24,+0000000000,+0000000000,-00017000,00
2025-12-04 10:35:22,1007.4,+2205,3.34,+2318,2015/10/18,00:28:25,+0000000000,+0000000000,-00017000,00
2025-12-04 10:35:23,1007.4,+2208,3.34,+2319,2015/10/18,00:28:26,+0000000000,+0000000000,-00017000,00
